Date,Last,Open,High,Low,Variation
2020.08.14,1186.94,1185.15,1188.06,1183.92,0.17
2020.08.15,1186.94,1185.15,1188.06,1183.92,0.17
2020.08.16,1186.94,1185.15,1188.06,1183.92,0.17
2020.08.17,1183.19,1185.9,1187.27,1183.63,-0.32
2020.08.18,1182.7,1184.14,1186.7,1182.89,-0.04
2020.08.19,1181.74,1183.79,1184.57,1176.04,-0.08
2020.08.20,1185.24,1182.24,1190.91,1181.53,0.3
2020.08.21,1191.72,1185.36,1193.51,1183.1,0.55
2020.08.22,1191.72,1185.36,1193.51,1183.1,0.55
2020.08.23,1191.72,1185.36,1193.51,1183.1,0.55
2020.08.24,1188.66,1192.12,1193.03,1186.47,-0.26
2020.08.25,1187.35,1189.04,1190.22,1184.7,-0.11
2020.08.26,1184.39,1187.48,1188.94,1184.16,-0.25
2020.08.27,1187.44,1184.79,1188.51,1182.82,0.26
2020.08.28,1180.48,1187.56,1188.29,1180.03,-0.59
2020.08.29,1180.48,1187.56,1188.29,1180.03,-0.59
2020.08.30,1180.48,1187.56,1188.29,1180.03,-0.59
2020.08.31,1187.94,1180.51,1188.87,1178.91,0.63
2020.09.01,1185.45,1188.07,1188.69,1181.68,-0.21
2020.09.02,1189.13,1185.58,1191.71,1184.18,0.31
2020.09.03,1191.48,1189.63,1192.56,1185.47,0.2
2020.09.04,1187.3,1191.73,1193.21,1186.94,-0.35
2020.09.05,1187.3,1191.73,1193.21,1186.94,-0.35
2020.09.06,1187.3,1191.73,1193.21,1186.94,-0.35
2020.09.07,1187.27,1187.33,1189.67,1185.85,0.0
2020.09.08,1190.1,1187.77,1190.87,1185.8,0.24
2020.09.09,1184.79,1190.23,1191.79,1184.05,-0.45
2020.09.10,1188.11,1184.92,1188.73,1183.88,0.28
2020.09.11,1187.89,1188.21,1190.27,1185.6,-0.02
2020.09.12,1187.89,1188.21,1190.27,1185.6,-0.02
2020.09.13,1187.89,1188.21,1190.27,1185.6,-0.02
2020.09.14,1181.51,1187.99,1188.86,1180.21,-0.54
2020.09.15,1179.76,1181.89,1183.53,1176.74,-0.15
2020.09.16,1172.88,1180.26,1181.93,1169.9,-0.58
2020.09.17,1169.2,1172.97,1178.18,1168.43,-0.31
2020.09.18,1164.81,1169.7,1170.78,1159.4,-0.38
2020.09.19,1164.81,1169.7,1170.78,1159.4,-0.38
2020.09.20,1164.81,1169.7,1170.78,1159.4,-0.38
2020.09.21,1163.61,1165.0,1168.31,1156.46,-0.1
2020.09.22,1163.61,1164.84,1166.03,1158.93,0.0
2020.09.23,1170.65,1163.65,1172.46,1160.69,0.61
2020.09.24,1169.1,1170.78,1176.31,1167.08,-0.13
2020.09.25,1174.32,1169.6,1178.03,1168.35,0.45
2020.09.26,1174.32,1169.6,1178.03,1168.35,0.45
2020.09.27,1174.32,1169.6,1178.03,1168.35,0.45
2020.09.28,1166.85,1174.44,1175.23,1166.81,-0.64
2020.09.29,1168.73,1167.35,1171.6,1166.38,0.16
2020.09.30,1164.65,1168.82,1171.58,1163.73,-0.35
2020.10.01,1162.83,1164.75,1165.84,1160.7,-0.16
2020.10.02,1166.26,1162.93,1168.28,1162.18,0.29
2020.10.03,1166.26,1162.93,1168.28,1162.18,0.29
2020.10.04,1166.26,1162.93,1168.28,1162.18,0.29
2020.10.05,1157.12,1166.35,1167.33,1156.59,-0.78
2020.10.06,1164.37,1157.29,1166.07,1156.42,0.63
2020.10.07,1157.26,1164.87,1166.56,1156.14,-0.61
2020.10.08,1151.11,1157.38,1159.31,1150.43,-0.53
2020.10.09,1143.52,1151.22,1151.87,1141.86,-0.66
2020.10.10,1143.52,1151.22,1151.87,1141.86,-0.66
2020.10.11,1143.52,1151.22,1151.87,1141.86,-0.66
2020.10.12,1147.79,1143.65,1152.14,1143.11,0.37
2020.10.13,1148.3,1148.29,1151.93,1144.46,0.04
2020.10.14,1147.14,1148.8,1150.0,1142.28,-0.1
2020.10.15,1145.14,1147.2,1149.46,1141.53,-0.17
2020.10.16,1142.13,1145.23,1148.14,1140.73,-0.26
2020.10.17,1142.13,1145.23,1148.14,1140.73,-0.26
2020.10.18,1142.13,1145.23,1148.14,1140.73,-0.26
2020.10.19,1140.06,1142.21,1143.96,1137.26,-0.18
2020.10.20,1138.39,1140.63,1141.88,1137.25,-0.15
2020.10.21,1132.54,1138.77,1140.1,1130.61,-0.51
2020.10.22,1134.74,1133.07,1137.55,1131.96,0.19
2020.10.23,1127.95,1135.14,1136.94,1126.23,-0.6
2020.10.24,1127.95,1135.14,1136.94,1126.23,-0.6
2020.10.25,1127.95,1135.14,1136.94,1126.23,-0.6
2020.10.26,1132.44,1128.45,1134.16,1127.06,0.4
2020.10.27,1129.21,1132.51,1133.43,1124.69,-0.29
2020.10.28,1134.93,1129.28,1138.97,1126.57,0.51
2020.10.29,1130.06,1135.14,1136.08,1130.19,-0.43
2020.10.30,1136.49,1130.56,1139.16,1126.23,0.57
2020.10.31,1136.49,1130.56,1139.16,1126.23,0.57
